lion 사자
tiger 호랑이
bear 곰
cat 고양이
dog 개
lemon 레몬
pencil 연필
pig 돼지
horse 말
cloud 구름
pork 돼지고기
chicken 닭
banana 바나나
apple 사과
grape 포도
orange 오렌지
monkey 원숭이
spider 거미
fly 파리
mirror 거울
bow 활
sword 검
knife 칼
book 책
fiction 소설
three 셋
two 둘
one 하나
father 아빠
mother 엄마
parent 부모님
family 가족
gorilla 고릴라
plastic 플라스틱
glass 유리
glasses 안경
butter 버터
butterfly 나비
ant 개미
eagle 독수리
bird 새
snake 뱀
fight 싸우다
walk 걷다
run 뛰다
destiny 운명
money 돈
love 사랑
fortune 행운
see 보다
sing 노래하다
song 노래
music 음악
cute 귀여운
korea 한국
korean 한국인
japan 일본
china 중국
america 미국
england 영국
four 넷
five 다섯
six 여섯
seven 일곱
eight 여덟
nine 아홉
ten 열
russia 러시아
dictionary 사전
nation 국가
memory 기억
algorithm 알고리즘
candy 사탕
canada 캐나다
bus 버스
bycicle 자전거
taxi 택시
artist 예술가
programmer 프로그래머
soft 부드러운
snack 과자
sea 바다
sky 하늘
earth 지구
monday 월요일
thuesday 화요일
wednesday 수요일
thursday 목요일
friday 금요일
saturday 토요일
sunday 일요일
morning 아침
afternoon 오후
evening 저녁
food 음식
noodle 면
hamburger 햄버거
wind 바람
fire 불
water 물
